parent,child,weight,baseline,mae,parent_len,child_len
2,3,0.2819022771509153,0.5517712333862473,0.16731996715538072,8,56
3,4,0.2561140123338596,0.37110062893296336,0.22645522199895646,56,168
4,5,0.373089682237478,0.38536040919158854,0.22133329008879146,168,420
5,6,0.03381922691111413,0.6216984861779173,0.2327922850846562,420,480
6,7,0.18121407063947287,0.622124652189624,0.3013458722789867,480,520
7,8,0.17870274032344882,0.29874104097158677,0.4846284679626041,520,140
