state,parent_state,to_move,layer,P(X wins),P(X wins) difference,P(O wins),P(O wins) difference,P(draws),P(draws) difference
OXOXOXXOX,OXOXOXXO.,O,9,0.0,0.0,0.0,0.0,1.0,0.0
OXOXOXXO.,OXOXOXX..,X,8,0.0,0.0,0.0,-0.5,1.0,0.5
OXOXOXX.O,OXOXOXX..,X,8,0.0,0.0,1.0,0.5,0.0,-0.5
OXOXOXX..,OXOXOX...,O,7,0.0,0.0,0.5,-0.16666666669999997,0.5,0.16666666670000002
OXOXOXOX.,OXOXOX.X.,X,8,0.0,0.0,1.0,0.0,0.0,0.0
OXOXOX.XO,OXOXOX.X.,X,8,0.0,0.0,1.0,0.0,0.0,0.0
OXOXOX.X.,OXOXOX...,O,7,0.0,0.0,1.0,0.33333333330000003,0.0,-0.3333333333
OXOXOXO.X,OXOXOX..X,X,8,0.0,0.0,1.0,0.5,0.0,-0.5
OXOXOX.OX,OXOXOX..X,X,8,0.0,0.0,0.0,-0.5,1.0,0.5
OXOXOX..X,OXOXOX...,O,7,0.0,0.0,0.5,-0.16666666669999997,0.5,0.16666666670000002
OXOXOX...,OXOX.X...,X,6,0.0,-0.5,0.6666666667,0.3333333334,0.3333333333,0.16666666659999999
OXOXXXO..,OXOX.XO..,O,7,1.0,0.33333333330000003,0.0,-0.3333333333,0.0,0.0
OXOXXXOXO,OXOX.XOXO,O,9,1.0,0.0,0.0,0.0,0.0,0.0
OXOX.XOXO,OXOX.XOX.,X,8,1.0,0.5,0.0,-0.5,0.0,0.0
OXOX.XOX.,OXOX.XO..,O,7,0.5,-0.16666666669999997,0.5,0.16666666670000002,0.0,0.0
OXOXXXOOX,OXOX.XOOX,O,9,1.0,0.0,0.0,0.0,0.0,0.0
OXOX.XOOX,OXOX.XO.X,X,8,1.0,0.5,0.0,-0.5,0.0,0.0
OXOX.XO.X,OXOX.XO..,O,7,0.5,-0.16666666669999997,0.5,0.16666666670000002,0.0,0.0
OXOX.XO..,OXOX.X...,X,6,0.6666666667,0.16666666669999997,0.3333333333,0.0,0.0,-0.1666666667
OXOXXX.O.,OXOX.X.O.,O,7,1.0,0.33333333330000003,0.0,0.0,0.0,-0.3333333333
OXOXXXXOO,OXOX.XXOO,O,9,1.0,0.0,0.0,0.0,0.0,0.0
OXOX.XXOO,OXOX.XXO.,X,8,1.0,0.5,0.0,0.0,0.0,-0.5
OXOX.XXO.,OXOX.X.O.,O,7,0.5,-0.16666666669999997,0.0,0.0,0.5,0.16666666670000002
