state,parent_state,to_move,layer,P(X wins),P(X wins) difference,P(O wins),P(O wins) difference,P(draws),P(draws) difference
XOXOXOX..,XOXOXO...,O,7,1.0,0.0,0.0,0.0,0.0,0.0
XOXOXOOXX,XOXOXOOX.,O,9,1.0,0.0,0.0,0.0,0.0,0.0
XOXOXOOX.,XOXOXO.X.,X,8,1.0,0.0,0.0,0.0,0.0,0.0
XOXOXOXXO,XOXOXO.XO,O,9,1.0,0.0,0.0,0.0,0.0,0.0
XOXOXO.XO,XOXOXO.X.,X,8,1.0,0.0,0.0,0.0,0.0,0.0
XOXOXO.X.,XOXOXO...,O,7,1.0,0.0,0.0,0.0,0.0,0.0
XOXOXO..X,XOXOXO...,O,7,1.0,0.0,0.0,0.0,0.0,0.0
XOXOXO...,XOXOX....,X,6,1.0,0.16666666669999997,0.0,0.0,0.0,-0.1666666667
XOXOXXOOX,XOXOXXOO.,O,9,1.0,0.0,0.0,0.0,0.0,0.0
XOXOXXOO.,XOXOXXO..,X,8,1.0,0.5,0.0,0.0,0.0,-0.5
XOXOXXOXO,XOXOXXO.O,O,9,0.0,0.0,0.0,0.0,1.0,0.0
XOXOXXO.O,XOXOXXO..,X,8,0.0,-0.5,0.0,0.0,1.0,0.5
XOXOXXO..,XOXOX.O..,O,7,0.5,-0.16666666669999997,0.0,0.0,0.5,0.16666666670000002
XOXOX.OXO,XOXOX.OX.,X,8,0.0,-0.5,0.0,0.0,1.0,0.5
XOXOX.OX.,XOXOX.O..,O,7,0.5,-0.16666666669999997,0.0,0.0,0.5,0.16666666670000002
XOXOX.O.X,XOXOX.O..,O,7,1.0,0.33333333330000003,0.0,0.0,0.0,-0.3333333333
XOXOX.O..,XOXOX....,X,6,0.6666666667,-0.16666666660000007,0.0,0.0,0.3333333333,0.16666666659999999
XOXOXXXOO,XOXOXX.OO,O,9,1.0,0.0,0.0,0.0,0.0,0.0
XOXOXX.OO,XOXOXX.O.,X,8,1.0,0.0,0.0,0.0,0.0,0.0
XOXOXX.O.,XOXOX..O.,O,7,1.0,0.0,0.0,0.0,0.0,0.0
