state,parent_state,to_move,layer,P(X wins),P(X wins) difference,P(O wins),P(O wins) difference,P(draws),P(draws) difference
OXOXOXOX.,OXOXOX.X.,X,8,0.0,0.0,1.0,0.0,0.0,0.0
OXOXOX.XO,OXOXOX.X.,X,8,0.0,0.0,1.0,0.0,0.0,0.0
OXOXOX.X.,OXOXO..X.,O,7,0.0,-0.3333333333,1.0,0.33333333330000003,0.0,0.0
OXOXOOXXX,OXOXOOXX.,O,9,1.0,0.0,0.0,0.0,0.0,0.0
OXOXOOXX.,OXOXO.XX.,X,8,1.0,0.5,0.0,-0.5,0.0,0.0
OXOXO.XXO,OXOXO.XX.,X,8,0.0,-0.5,1.0,0.5,0.0,0.0
OXOXO.XX.,OXOXO..X.,O,7,0.5,0.16666666670000002,0.5,-0.16666666669999997,0.0,0.0
OXOXOO.XX,OXOXO..XX,X,8,1.0,0.5,0.0,-0.5,0.0,0.0
OXOXO.OXX,OXOXO..XX,X,8,0.0,-0.5,1.0,0.5,0.0,0.0
OXOXO..XX,OXOXO..X.,O,7,0.5,0.16666666670000002,0.5,-0.16666666669999997,0.0,0.0
OXOXO..X.,OXOX...X.,X,6,0.3333333333,-0.25000000000000006,0.6666666667,0.24999999999999994,0.0,0.0
OXOXXO.X.,OXOX.O.X.,O,7,1.0,0.16666666669999997,0.0,-0.1666666667,0.0,0.0
OXOX.OXXO,OXOX.OXX.,X,8,0.0,-0.5,1.0,0.5,0.0,0.0
OXOX.OXX.,OXOX.O.X.,O,7,0.5,-0.33333333330000003,0.5,0.33333333330000003,0.0,0.0
OXOXXOOXX,OXOX.OOXX,O,9,1.0,0.0,0.0,0.0,0.0,0.0
OXOX.OOXX,OXOX.O.XX,X,8,1.0,0.0,0.0,0.0,0.0,0.0
OXOX.O.XX,OXOX.O.X.,O,7,1.0,0.16666666669999997,0.0,-0.1666666667,0.0,0.0
OXOX.O.X.,OXOX...X.,X,6,0.8333333333,0.25,0.1666666667,-0.25,0.0,0.0
OXOXX.OX.,OXOX..OX.,O,7,1.0,0.33333333330000003,0.0,-0.3333333333,0.0,0.0
OXOXXXOXO,OXOX.XOXO,O,9,1.0,0.0,0.0,0.0,0.0,0.0
OXOX.XOXO,OXOX.XOX.,X,8,1.0,0.5,0.0,-0.5,0.0,0.0
OXOX.XOX.,OXOX..OX.,O,7,0.5,-0.16666666669999997,0.5,0.16666666670000002,0.0,0.0
OXOX..OXX,OXOX..OX.,O,7,0.5,-0.16666666669999997,0.5,0.16666666670000002,0.0,0.0
OXOX..OX.,OXOX...X.,X,6,0.6666666667,0.08333333339999993,0.3333333333,-0.08333333340000004,0.0,0.0
OXOXX..XO,OXOX...XO,O,7,1.0,0.5,0.0,-0.5,0.0,0.0
OXOX.X.XO,OXOX...XO,O,7,0.5,0.0,0.5,0.0,0.0,0.0
OXOX..XXO,OXOX...XO,O,7,0.0,-0.5,1.0,0.5,0.0,0.0
OXOX...XO,OXOX...X.,X,6,0.5,-0.08333333330000003,0.5,0.08333333329999998,0.0,0.0
OXOX...X.,OXO....X.,O,5,0.5833333333,-0.1499999999999999,0.4166666667,0.15000000000000002,0.0,0.0
OXO.X..X.,OXO....X.,O,5,1.0,0.26666666670000005,0.0,-0.2666666667,0.0,0.0
OXOOXX.X.,OXOO.X.X.,O,7,1.0,0.16666666669999997,0.0,-0.1666666667,0.0,0.0
OXOOOXXXX,OXOOOXXX.,O,9,1.0,0.0,0.0,0.0,0.0,0.0
OXOOOXXX.,OXOO.XXX.,X,8,1.0,0.0,0.0,0.0,0.0,0.0
OXOOXXXXO,OXOO.XXXO,O,9,1.0,0.0,0.0,0.0,0.0,0.0
OXOO.XXXO,OXOO.XXX.,X,8,1.0,0.0,0.0,0.0,0.0,0.0
OXOO.XXX.,OXOO.X.X.,O,7,1.0,0.16666666669999997,0.0,-0.1666666667,0.0,0.0
OXOOOX.XX,OXOO.X.XX,X,8,1.0,0.5,0.0,-0.5,0.0,0.0
OXOO.XOXX,OXOO.X.XX,X,8,0.0,-0.5,1.0,0.5,0.0,0.0
OXOO.X.XX,OXOO.X.X.,O,7,0.5,-0.33333333330000003,0.5,0.33333333330000003,0.0,0.0
OXOO.X.X.,OXO..X.X.,X,6,0.8333333333,0.25,0.1666666667,-0.25,0.0,0.0
OXO.OXXXO,OXO.OXXX.,X,8,0.0,-0.5,1.0,0.5,0.0,0.0
OXO.OXXX.,OXO.OX.X.,O,7,0.5,0.16666666670000002,0.5,-0.16666666669999997,0.0,0.0
OXO.OXOXX,OXO.OX.XX,X,8,0.0,-0.5,1.0,0.5,0.0,0.0
OXO.OX.XX,OXO.OX.X.,O,7,0.5,0.16666666670000002,0.5,-0.16666666669999997,0.0,0.0
OXO.OX.X.,OXO..X.X.,X,6,0.3333333333,-0.25000000000000006,0.6666666667,0.24999999999999994,0.0,0.0
OXO.XXOX.,OXO..XOX.,O,7,1.0,0.5,0.0,-0.5,0.0,0.0
OXO..XOXX,OXO..XOX.,O,7,0.0,-0.5,1.0,0.5,0.0,0.0
OXO..XOX.,OXO..X.X.,X,6,0.5,-0.08333333330000003,0.5,0.08333333329999998,0.0,0.0
OXO.XX.XO,OXO..X.XO,O,7,1.0,0.33333333330000003,0.0,-0.3333333333,0.0,0.0
OXO..XXXO,OXO..X.XO,O,7,0.5,-0.16666666669999997,0.5,0.16666666670000002,0.0,0.0
OXO..X.XO,OXO..X.X.,X,6,0.6666666667,0.08333333339999993,0.3333333333,-0.08333333340000004,0.0,0.0
OXO..X.X.,OXO....X.,O,5,0.5833333333,-0.1499999999999999,0.4166666667,0.15000000000000002,0.0,0.0
OXOOX.XX.,OXOO..XX.,O,7,1.0,0.0,0.0,0.0,0.0,0.0
OXOO..XXX,OXOO..XX.,O,7,1.0,0.0,0.0,0.0,0.0,0.0
