state,parent_state,to_move,layer,P(X wins),P(X wins) difference,P(O wins),P(O wins) difference,P(draws),P(draws) difference
OXOXOXXOX,OXOXOXXO.,O,9,0.0,0.0,0.0,0.0,1.0,0.0
OXOXOXXO.,OXOXOXX..,X,8,0.0,0.0,0.0,-0.5,1.0,0.5
OXOXOXX.O,OXOXOXX..,X,8,0.0,0.0,1.0,0.5,0.0,-0.5
OXOXOXX..,OXOXO.X..,O,7,0.0,-0.3333333333,0.5,0.16666666670000002,0.5,0.16666666670000002
OXOXOOXXX,OXOXOOXX.,O,9,1.0,0.0,0.0,0.0,0.0,0.0
OXOXOOXX.,OXOXO.XX.,X,8,1.0,0.5,0.0,-0.5,0.0,0.0
OXOXO.XXO,OXOXO.XX.,X,8,0.0,-0.5,1.0,0.5,0.0,0.0
OXOXO.XX.,OXOXO.X..,O,7,0.5,0.16666666670000002,0.5,0.16666666670000002,0.0,-0.3333333333
OXOXOOX.X,OXOXO.X.X,X,8,1.0,0.5,0.0,0.0,0.0,-0.5
OXOXO.XOX,OXOXO.X.X,X,8,0.0,-0.5,0.0,0.0,1.0,0.5
OXOXO.X.X,OXOXO.X..,O,7,0.5,0.16666666670000002,0.0,-0.3333333333,0.5,0.16666666670000002
OXOXO.X..,OXOX..X..,X,6,0.3333333333,0.0,0.3333333333,0.0,0.3333333333,0.0
OXOXXOXOX,OXOXXOXO.,O,9,0.0,0.0,0.0,0.0,1.0,0.0
OXOXXOXO.,OXOXXOX..,X,8,0.0,0.0,0.0,-0.5,1.0,0.5
OXOXXOX.O,OXOXXOX..,X,8,0.0,0.0,1.0,0.5,0.0,-0.5
OXOXXOX..,OXOX.OX..,O,7,0.0,-0.3333333333,0.5,0.16666666670000002,0.5,0.16666666670000002
OXOX.OXXO,OXOX.OXX.,X,8,0.0,-0.5,1.0,0.5,0.0,0.0
OXOX.OXX.,OXOX.OX..,O,7,0.5,0.16666666670000002,0.5,0.16666666670000002,0.0,-0.3333333333
OXOX.OXOX,OXOX.OX.X,X,8,0.0,-0.5,0.0,0.0,1.0,0.5
OXOX.OX.X,OXOX.OX..,O,7,0.5,0.16666666670000002,0.0,-0.3333333333,0.5,0.16666666670000002
OXOX.OX..,OXOX..X..,X,6,0.3333333333,0.0,0.3333333333,0.0,0.3333333333,0.0
OXOXXXXOO,OXOXX.XOO,O,9,1.0,0.0,0.0,0.0,0.0,0.0
OXOXX.XOO,OXOXX.XO.,X,8,1.0,0.5,0.0,0.0,0.0,-0.5
