state,parent_state,to_move,layer,P(X wins),P(O wins),P(draws)
OXXOXOX..,OXXOXO...,O,7,1.0000000000,0.0000000000,0.0000000000
OXXOXO.X.,OXXOXO...,O,7,1.0000000000,0.0000000000,0.0000000000
OXXOXOO.X,OXXOXO..X,X,8,0.0000000000,1.0000000000,0.0000000000
OXXOXOXOX,OXXOXO.OX,O,9,1.0000000000,0.0000000000,0.0000000000
OXXOXO.OX,OXXOXO..X,X,8,1.0000000000,0.0000000000,0.0000000000
OXXOXO..X,OXXOXO...,O,7,0.5000000000,0.5000000000,0.0000000000
OXXOXO...,OXXOX....,X,6,0.8333333333,0.1666666667,0.0000000000
OXXOX.O..,OXXOX....,X,6,0.0000000000,1.0000000000,0.0000000000
OXXOXXOO.,OXXOXX.O.,X,8,0.0000000000,1.0000000000,0.0000000000
OXXOXXXOO,OXXOXX.OO,O,9,1.0000000000,0.0000000000,0.0000000000
OXXOXX.OO,OXXOXX.O.,X,8,1.0000000000,0.0000000000,0.0000000000
OXXOXX.O.,OXXOX..O.,O,7,0.5000000000,0.5000000000,0.0000000000
OXXOX.XO.,OXXOX..O.,O,7,1.0000000000,0.0000000000,0.0000000000
OXXOX.OOX,OXXOX..OX,X,8,0.0000000000,1.0000000000,0.0000000000
OXXOX..OX,OXXOX..O.,O,7,0.5000000000,0.5000000000,0.0000000000
OXXOX..O.,OXXOX....,X,6,0.6666666667,0.3333333333,0.0000000000
OXXOXXO.O,OXXOXX..O,X,8,0.0000000000,1.0000000000,0.0000000000
OXXOXX..O,OXXOX...O,O,7,0.5000000000,0.5000000000,0.0000000000
OXXOX.X.O,OXXOX...O,O,7,1.0000000000,0.0000000000,0.0000000000
OXXOX..XO,OXXOX...O,O,7,1.0000000000,0.0000000000,0.0000000000
OXXOX...O,OXXOX....,X,6,0.8333333333,0.1666666667,0.0000000000
OXXOX....,OXXO.....,O,5,0.5833333333,0.4166666667,0.0000000000
OXXOOXXOX,OXXOOXXO.,O,9,1.0000000000,0.0000000000,0.0000000000
OXXOOXXO.,OXXOOXX..,X,8,1.0000000000,0.0000000000,0.0000000000
OXXOOXX.O,OXXOOXX..,X,8,0.0000000000,1.0000000000,0.0000000000
OXXOOXX..,OXXOOX...,O,7,0.5000000000,0.5000000000,0.0000000000
OXXOOXOX.,OXXOOX.X.,X,8,0.0000000000,1.0000000000,0.0000000000
OXXOOX.XO,OXXOOX.X.,X,8,0.0000000000,1.0000000000,0.0000000000
OXXOOX.X.,OXXOOX...,O,7,0.0000000000,1.0000000000,0.0000000000
OXXOOX..X,OXXOOX...,O,7,1.0000000000,0.0000000000,0.0000000000
OXXOOX...,OXXO.X...,X,6,0.5000000000,0.5000000000,0.0000000000
OXXO.XO..,OXXO.X...,X,6,0.0000000000,1.0000000000,0.0000000000
OXXO.XXOO,OXXO.XXO.,X,8,1.0000000000,0.0000000000,0.0000000000
OXXO.XXO.,OXXO.X.O.,O,7,1.0000000000,0.0000000000,0.0000000000
OXXO.X.OX,OXXO.X.O.,O,7,1.0000000000,0.0000000000,0.0000000000
OXXO.X.O.,OXXO.X...,X,6,0.8333333333,0.1666666667,0.0000000000
OXXO.XX.O,OXXO.X..O,O,7,0.5000000000,0.5000000000,0.0000000000
OXXO.XOXO,OXXO.X.XO,X,8,0.0000000000,1.0000000000,0.0000000000
OXXO.X.XO,OXXO.X..O,O,7,0.0000000000,1.0000000000,0.0000000000
OXXO.X..O,OXXO.X...,X,6,0.3333333333,0.6666666667,0.0000000000
OXXO.X...,OXXO.....,O,5,0.4166666667,0.5833333333,0.0000000000
OXXOOOXX.,OXXOO.XX.,X,8,0.0000000000,1.0000000000,0.0000000000
OXXOO.XXO,OXXOO.XX.,X,8,0.0000000000,1.0000000000,0.0000000000
