state,parent_state,to_move,layer,P(X wins),P(O wins),P(draws)
OXOXXOXOX,OXOXXOXO.,O,9,0.0000000000,0.0000000000,1.0000000000
OXOXXOXO.,OXOXXOX..,X,8,0.0000000000,0.0000000000,1.0000000000
OXOXXOX.O,OXOXXOX..,X,8,0.0000000000,1.0000000000,0.0000000000
OXOXXOX..,OXOXXO...,O,7,0.0000000000,0.5000000000,0.5000000000
OXOXXO.X.,OXOXXO...,O,7,1.0000000000,0.0000000000,0.0000000000
OXOXXOOXX,OXOXXOO.X,O,9,1.0000000000,0.0000000000,0.0000000000
OXOXXOO.X,OXOXXO..X,X,8,1.0000000000,0.0000000000,0.0000000000
OXOXXO.OX,OXOXXO..X,X,8,0.0000000000,0.0000000000,1.0000000000
OXOXXO..X,OXOXXO...,O,7,0.5000000000,0.0000000000,0.5000000000
OXOXXO...,OXOXX....,X,6,0.5000000000,0.1666666667,0.3333333333
OXOXXXO..,OXOXX.O..,O,7,1.0000000000,0.0000000000,0.0000000000
OXOXX.OX.,OXOXX.O..,O,7,1.0000000000,0.0000000000,0.0000000000
OXOXXXOOX,OXOXX.OOX,O,9,1.0000000000,0.0000000000,0.0000000000
OXOXX.OOX,OXOXX.O.X,X,8,1.0000000000,0.0000000000,0.0000000000
OXOXX.O.X,OXOXX.O..,O,7,1.0000000000,0.0000000000,0.0000000000
OXOXX.O..,OXOXX....,X,6,1.0000000000,0.0000000000,0.0000000000
OXOXXX.O.,OXOXX..O.,O,7,1.0000000000,0.0000000000,0.0000000000
OXOXXXXOO,OXOXX.XOO,O,9,1.0000000000,0.0000000000,0.0000000000
OXOXX.XOO,OXOXX.XO.,X,8,1.0000000000,0.0000000000,0.0000000000
OXOXX.XO.,OXOXX..O.,O,7,0.5000000000,0.0000000000,0.5000000000
OXOXX..OX,OXOXX..O.,O,7,0.5000000000,0.0000000000,0.5000000000
OXOXX..O.,OXOXX....,X,6,0.6666666667,0.0000000000,0.3333333333
OXOXXX..O,OXOXX...O,O,7,1.0000000000,0.0000000000,0.0000000000
OXOXX.X.O,OXOXX...O,O,7,0.5000000000,0.5000000000,0.0000000000
OXOXX..XO,OXOXX...O,O,7,1.0000000000,0.0000000000,0.0000000000
OXOXX...O,OXOXX....,X,6,0.8333333333,0.1666666667,0.0000000000
OXOXX....,OXOX.....,O,5,0.7500000000,0.0833333333,0.1666666667
OXOXOXXOX,OXOXOXXO.,O,9,0.0000000000,0.0000000000,1.0000000000
OXOXOXXO.,OXOXOXX..,X,8,0.0000000000,0.0000000000,1.0000000000
OXOXOXX.O,OXOXOXX..,X,8,0.0000000000,1.0000000000,0.0000000000
OXOXOXX..,OXOXOX...,O,7,0.0000000000,0.5000000000,0.5000000000
OXOXOXOX.,OXOXOX.X.,X,8,0.0000000000,1.0000000000,0.0000000000
