state,parent_state,to_move,layer,P(X wins),P(O wins),P(draws)
.OO.XX.X.,.OO.X..X.,O,5,0.4166666667,0.4166666667,0.1666666667
.OOOX.XXX,.OOOX.XX.,O,7,1.0000000000,0.0000000000,0.0000000000
.OOOX.XX.,.OO.X.XX.,X,6,0.5000000000,0.1666666667,0.3333333333
.OO.XOXXX,.OO.XOXX.,O,7,1.0000000000,0.0000000000,0.0000000000
.OO.XOXX.,.OO.X.XX.,X,6,0.5000000000,0.5000000000,0.0000000000
.OO.X.XXO,.OO.X.XX.,X,6,0.0000000000,0.6666666667,0.3333333333
.OO.X.XX.,.OO.X..X.,O,5,0.2500000000,0.5833333333,0.1666666667
.OOOX..XX,.OO.X..XX,X,6,0.8333333333,0.1666666667,0.0000000000
.OO.XO.XX,.OO.X..XX,X,6,0.8333333333,0.1666666667,0.0000000000
.OO.X.OXX,.OO.X..XX,X,6,0.6666666667,0.3333333333,0.0000000000
.OO.X..XX,.OO.X..X.,O,5,0.5833333333,0.4166666667,0.0000000000
.OO.X..X.,.O..X..X.,X,4,0.4666666667,0.4333333333,0.1000000000
.O.OXXOXX,.O.OXXOX.,O,7,0.5000000000,0.5000000000,0.0000000000
.O.OXXOX.,.O.OXX.X.,X,6,0.3333333333,0.3333333333,0.3333333333
.O.OXXXXO,.O.OXX.XO,O,7,0.5000000000,0.0000000000,0.5000000000
.O.OXX.XO,.O.OXX.X.,X,6,0.3333333333,0.0000000000,0.6666666667
.O.OXX.X.,.O.OX..X.,O,5,0.3333333333,0.3333333333,0.3333333333
.O.OXOXXX,.O.OXOXX.,O,7,1.0000000000,0.0000000000,0.0000000000
.O.OXOXX.,.O.OX.XX.,X,6,1.0000000000,0.0000000000,0.0000000000
.O.OX.XXO,.O.OX.XX.,X,6,0.6666666667,0.0000000000,0.3333333333
.O.OX.XX.,.O.OX..X.,O,5,0.7500000000,0.0833333333,0.1666666667
.O.OXO.XX,.O.OX..XX,X,6,1.0000000000,0.0000000000,0.0000000000
.O.OX.OXX,.O.OX..XX,X,6,0.6666666667,0.3333333333,0.0000000000
.O.OX..XX,.O.OX..X.,O,5,0.7500000000,0.2500000000,0.0000000000
.O.OX..X.,.O..X..X.,X,4,0.6333333333,0.1666666667,0.2000000000
.O..XOXXO,.O..XOXX.,X,6,0.6666666667,0.3333333333,0.0000000000
.O..XOXX.,.O..XO.X.,O,5,0.7500000000,0.2500000000,0.0000000000
.O..XOOXX,.O..XO.XX,X,6,0.6666666667,0.0000000000,0.3333333333
.O..XO.XX,.O..XO.X.,O,5,0.7500000000,0.0833333333,0.1666666667
.O..XO.X.,.O..X..X.,X,4,0.6333333333,0.1666666667,0.2000000000
.O..XXOXO,.O..XXOX.,X,6,0.6666666667,0.0000000000,0.3333333333
.O..XXOX.,.O..X.OX.,O,5,0.5833333333,0.2500000000,0.1666666667
.O..X.OXX,.O..X.OX.,O,5,0.5000000000,0.3333333333,0.1666666667
.O..X.OX.,.O..X..X.,X,4,0.5333333333,0.1666666667,0.3000000000
.O..XX.XO,.O..X..XO,O,5,0.5833333333,0.0833333333,0.3333333333
.O..X.XXO,.O..X..XO,O,5,0.5000000000,0.3333333333,0.1666666667
.O..X..XO,.O..X..X.,X,4,0.5333333333,0.1666666667,0.3000000000
.O..X..X.,.O.....X.,O,3,0.5444444444,0.2555555556,0.2000000000
.OOO.XXXX,.OOO.XXX.,O,7,1.0000000000,0.0000000000,0.0000000000
.OOO.XXX.,.OO..XXX.,X,6,0.5000000000,0.1666666667,0.3333333333
.OO.OXXXX,.OO.OXXX.,O,7,1.0000000000,0.0000000000,0.0000000000
.OO.OXXX.,.OO..XXX.,X,6,0.8333333333,0.1666666667,0.0000000000
.OO..XXXO,.OO..XXX.,X,6,0.3333333333,0.3333333333,0.3333333333
.OO..XXX.,.OO..X.X.,O,5,0.4166666667,0.4166666667,0.1666666667
.OOO.X.XX,.OO..X.XX,X,6,0.8333333333,0.1666666667,0.0000000000
.OO.OX.XX,.OO..X.XX,X,6,0.5000000000,0.5000000000,0.0000000000
.OO..XOXX,.OO..X.XX,X,6,0.3333333333,0.6666666667,0.0000000000
.OO..X.XX,.OO..X.X.,O,5,0.4166666667,0.5833333333,0.0000000000
.OO..X.X.,.O...X.X.,X,4,0.4666666667,0.4333333333,0.1000000000
.O.OOXXXX,.O.OOXXX.,O,7,1.0000000000,0.0000000000,0.0000000000
.O.OOXXX.,.O.O.XXX.,X,6,0.6666666667,0.0000000000,0.3333333333
.O.O.XXXO,.O.O.XXX.,X,6,0.3333333333,0.0000000000,0.6666666667
.O.O.XXX.,.O.O.X.X.,O,5,0.5833333333,0.0833333333,0.3333333333
.O.OOX.XX,.O.O.X.XX,X,6,1.0000000000,0.0000000000,0.0000000000
.O.O.XOXX,.O.O.X.XX,X,6,0.8333333333,0.1666666667,0.0000000000
.O.O.X.XX,.O.O.X.X.,O,5,0.8333333333,0.1666666667,0.0000000000
.O.O.X.X.,.O...X.X.,X,4,0.5666666667,0.1333333333,0.3000000000
.O..OXXXO,.O..OXXX.,X,6,0.3333333333,0.3333333333,0.3333333333
.O..OXXX.,.O..OX.X.,O,5,0.5833333333,0.2500000000,0.1666666667
.O..OXOXX,.O..OX.XX,X,6,0.6666666667,0.3333333333,0.0000000000
.O..OX.XX,.O..OX.X.,O,5,0.7500000000,0.2500000000,0.0000000000
.O..OX.X.,.O...X.X.,X,4,0.5333333333,0.2666666667,0.2000000000
.O...XOXX,.O...XOX.,O,5,0.5833333333,0.4166666667,0.0000000000
.O...XOX.,.O...X.X.,X,4,0.5666666667,0.2333333333,0.2000000000
.O...XXXO,.O...X.XO,O,5,0.3333333333,0.3333333333,0.3333333333
.O...X.XO,.O...X.X.,X,4,0.4333333333,0.1666666667,0.4000000000
.O...X.X.,.O.....X.,O,3,0.5111111111,0.2888888889,0.2000000000
.OO...XXX,.OO...XX.,O,5,1.0000000000,0.0000000000,0.0000000000
.OO...XX.,.O....XX.,X,4,0.5833333333,0.3166666667,0.1000000000
.O.O..XXX,.O.O..XX.,O,5,1.0000000000,0.0000000000,0.0000000000
.O.O..XX.,.O....XX.,X,4,0.7333333333,0.0666666667,0.2000000000
.O..O.XXX,.O..O.XX.,O,5,1.0000000000,0.0000000000,0.0000000000
.O..O.XX.,.O....XX.,X,4,0.7333333333,0.1666666667,0.1000000000
.O...OXXX,.O...OXX.,O,5,1.0000000000,0.0000000000,0.0000000000
.O...OXX.,.O....XX.,X,4,0.8666666667,0.1333333333,0.0000000000
.O....XXO,.O....XX.,X,4,0.5333333333,0.2666666667,0.2000000000
.O....XX.,.O.....X.,O,3,0.6833333333,0.2166666667,0.1000000000
.OO....XX,.O.....XX,X,4,0.6500000000,0.3500000000,0.0000000000
.O.O...XX,.O.....XX,X,4,0.8666666667,0.1333333333,0.0000000000
.O..O..XX,.O.....XX,X,4,0.7333333333,0.1666666667,0.1000000000
.O...O.XX,.O.....XX,X,4,0.7333333333,0.0666666667,0.2000000000
.O....OXX,.O.....XX,X,4,0.5333333333,0.2666666667,0.2000000000
.O.....XX,.O.....X.,O,3,0.6833333333,0.2166666667,0.1000000000
.O.....X.,.......X.,X,2,0.5857142857,0.2142857143,0.2000000000
XXOOOXOX.,XXOOOX.X.,X,8,0.0000000000,1.0000000000,0.0000000000
XXOOOXXXO,XXOOOX.XO,O,9,0.0000000000,0.0000000000,1.0000000000
XXOOOX.XO,XXOOOX.X.,X,8,0.0000000000,0.0000000000,1.0000000000
XXOOOX.X.,XXOOO..X.,O,7,0.0000000000,0.5000000000,0.5000000000
XXOOOOXX.,XXOOO.XX.,X,8,0.0000000000,1.0000000000,0.0000000000
XXOOO.XXO,XXOOO.XX.,X,8,0.0000000000,0.0000000000,1.0000000000
XXOOO.XX.,XXOOO..X.,O,7,0.0000000000,0.5000000000,0.5000000000
XXOOOO.XX,XXOOO..XX,X,8,0.0000000000,1.0000000000,0.0000000000
XXOOO.OXX,XXOOO..XX,X,8,0.0000000000,1.0000000000,0.0000000000
XXOOO..XX,XXOOO..X.,O,7,0.0000000000,1.0000000000,0.0000000000
XXOOO..X.,XXOO...X.,X,6,0.0000000000,0.6666666667,0.3333333333
XXOOXO.X.,XXOO.O.X.,O,7,1.0000000000,0.0000000000,0.0000000000
XXOO.OXXO,XXOO.OXX.,X,8,0.0000000000,1.0000000000,0.0000000000
XXOO.OXX.,XXOO.O.X.,O,7,0.0000000000,1.0000000000,0.0000000000
XXOOXOOXX,XXOO.OOXX,O,9,1.0000000000,0.0000000000,0.0000000000
XXOO.OOXX,XXOO.O.XX,X,8,1.0000000000,0.0000000000,0.0000000000
XXOO.O.XX,XXOO.O.X.,O,7,0.5000000000,0.5000000000,0.0000000000
XXOO.O.X.,XXOO...X.,X,6,0.5000000000,0.5000000000,0.0000000000
XXOOX.OX.,XXOO..OX.,O,7,1.0000000000,0.0000000000,0.0000000000
XXOOXXOXO,XXOO.XOXO,O,9,1.0000000000,0.0000000000,0.0000000000
XXOO.XOXO,XXOO.XOX.,X,8,1.0000000000,0.0000000000,0.0000000000
XXOO.XOX.,XXOO..OX.,O,7,0.5000000000,0.5000000000,0.0000000000
XXOO..OXX,XXOO..OX.,O,7,0.5000000000,0.5000000000,0.0000000000
XXOO..OX.,XXOO...X.,X,6,0.6666666667,0.3333333333,0.0000000000
XXOOX..XO,XXOO...XO,O,7,1.0000000000,0.0000000000,0.0000000000
XXOO.X.XO,XXOO...XO,O,7,0.5000000000,0.0000000000,0.5000000000
XXOO..XXO,XXOO...XO,O,7,0.0000000000,0.5000000000,0.5000000000
XXOO...XO,XXOO...X.,X,6,0.5000000000,0.1666666667,0.3333333333
XXOO...X.,X.OO...X.,O,5,0.4166666667,0.4166666667,0.1666666667
X.OOXOXXO,X.OOXOXX.,X,8,0.0000000000,1.0000000000,0.0000000000
X.OOXOXX.,X.OOXO.X.,O,7,0.5000000000,0.5000000000,0.0000000000
X.OOXO.XX,X.OOXO.X.,O,7,1.0000000000,0.0000000000,0.0000000000
X.OOXO.X.,X.OOX..X.,X,6,0.8333333333,0.1666666667,0.0000000000
X.OOXXOXO,X.OOXXOX.,X,8,1.0000000000,0.0000000000,0.0000000000
X.OOXXOX.,X.OOX.OX.,O,7,1.0000000000,0.0000000000,0.0000000000
X.OOX.OXX,X.OOX.OX.,O,7,1.0000000000,0.0000000000,0.0000000000
X.OOX.OX.,X.OOX..X.,X,6,1.0000000000,0.0000000000,0.0000000000
X.OOXX.XO,X.OOX..XO,O,7,0.5000000000,0.0000000000,0.5000000000
X.OOX.XXO,X.OOX..XO,O,7,0.0000000000,0.5000000000,0.5000000000
X.OOX..XO,X.OOX..X.,X,6,0.5000000000,0.1666666667,0.3333333333
X.OOX..X.,X.OO...X.,O,5,0.7500000000,0.0833333333,0.1666666667
X.OOOXXXO,X.OOOXXX.,X,8,0.0000000000,0.0000000000,1.0000000000
X.OOOXXX.,X.OOOX.X.,O,7,0.5000000000,0.0000000000,0.5000000000
X.OOOXOXX,X.OOOX.XX,X,8,0.0000000000,1.0000000000,0.0000000000
X.OOOX.XX,X.OOOX.X.,O,7,0.5000000000,0.5000000000,0.0000000000
X.OOOX.X.,X.OO.X.X.,X,6,0.3333333333,0.3333333333,0.3333333333
X.OO.XOXX,X.OO.XOX.,O,7,0.5000000000,0.5000000000,0.0000000000
X.OO.XOX.,X.OO.X.X.,X,6,0.6666666667,0.3333333333,0.0000000000
X.OO.XXXO,X.OO.X.XO,O,7,0.0000000000,0.0000000000,1.0000000000
X.OO.X.XO,X.OO.X.X.,X,6,0.3333333333,0.0000000000,0.6666666667
X.OO.X.X.,X.OO...X.,O,5,0.5000000000,0.1666666667,0.3333333333
X.OOO.XXX,X.OOO.XX.,O,7,1.0000000000,0.0000000000,0.0000000000
X.OOO.XX.,X.OO..XX.,X,6,0.5000000000,0.1666666667,0.3333333333
X.OO.OXXX,X.OO.OXX.,O,7,1.0000000000,0.0000000000,0.0000000000
X.OO.OXX.,X.OO..XX.,X,6,0.5000000000,0.5000000000,0.0000000000
X.OO..XXO,X.OO..XX.,X,6,0.0000000000,0.3333333333,0.6666666667
X.OO..XX.,X.OO...X.,O,5,0.4166666667,0.2500000000,0.3333333333
X.OOO..XX,X.OO...XX,X,6,0.5000000000,0.5000000000,0.0000000000
X.OO.O.XX,X.OO...XX,X,6,0.8333333333,0.1666666667,0.0000000000
X.OO..OXX,X.OO...XX,X,6,0.6666666667,0.3333333333,0.0000000000
X.OO...XX,X.OO...X.,O,5,0.7500000000,0.2500000000,0.0000000000
X.OO...X.,X.O....X.,X,4,0.5666666667,0.2333333333,0.2000000000
XXOXOOOX.,XXOXOO.X.,X,8,0.0000000000,1.0000000000,0.0000000000
XXOXOO.XO,XXOXOO.X.,X,8,0.0000000000,1.0000000000,0.0000000000
XXOXOO.X.,XXO.OO.X.,O,7,0.0000000000,1.0000000000,0.0000000000
XXO.OOXXO,XXO.OOXX.,X,8,0.0000000000,1.0000000000,0.0000000000
XXO.OOXX.,XXO.OO.X.,O,7,0.0000000000,1.0000000000,0.0000000000
XXO.OOOXX,XXO.OO.XX,X,8,0.0000000000,1.0000000000,0.0000000000
XXO.OO.XX,XXO.OO.X.,O,7,0.0000000000,1.0000000000,0.0000000000
XXO.OO.X.,XXO.O..X.,X,6,0.0000000000,1.0000000000,0.0000000000
XXO.O.OX.,XXO.O..X.,X,6,0.0000000000,1.0000000000,0.0000000000
XXOXO.OXO,XXOXO..XO,X,8,0.0000000000,1.0000000000,0.0000000000
XXOXO..XO,XXO.O..XO,O,7,0.0000000000,1.0000000000,0.0000000000
XXO.OXOXO,XXO.OX.XO,X,8,0.0000000000,1.0000000000,0.0000000000
XXO.OX.XO,XXO.O..XO,O,7,0.0000000000,0.5000000000,0.5000000000
XXO.O.XXO,XXO.O..XO,O,7,0.0000000000,0.5000000000,0.5000000000
