layer,state,px,x_order,parent_state,parent_adj_prob,weight,centered_prob
1,....X....,0.6928571429,0,,0.0,0.0,0.6928571429
2,O...X....,0.6571428571,0,....X....,0.6928571429,0.27835051543639067,0.46428571425
2,..O.X....,0.6571428571,1,....X....,0.6928571429,0.27835051543639067,0.46428571425
2,....X.O..,0.6571428571,2,....X....,0.6928571429,0.27835051543639067,0.46428571425
2,....X...O,0.6571428571,3,....X....,0.6928571429,0.27835051543639067,0.46428571425
2,.O..X....,0.7285714286,4,....X....,0.6928571429,0.27835051543639067,0.53571428575
2,...OX....,0.7285714286,5,....X....,0.6928571429,0.27835051543639067,0.53571428575
2,....XO...,0.7285714286,6,....X....,0.6928571429,0.27835051543639067,0.53571428575
2,....X..O.,0.7285714286,7,....X....,0.6928571429,0.27835051543639067,0.53571428575
3,O...X...X,0.4888888889,0,O...X....,0.46428571425,0.3825641025208467,0.3112698413146985
3,O...XX...,0.6611111111,1,O...X....,0.46428571425,0.3825641025208467,0.4834920635146984
3,O...X..X.,0.6611111111,2,O...X....,0.46428571425,0.3825641025208467,0.4834920635146984
3,OX..X....,0.6833333333,3,O...X....,0.46428571425,0.3825641025208467,0.5057142857146985
3,O..XX....,0.6833333333,4,O...X....,0.46428571425,0.3825641025208467,0.5057142857146985
3,O.X.X....,0.7111111111,5,O...X....,0.46428571425,0.3825641025208467,0.5334920635146985
3,O...X.X..,0.7111111111,6,O...X....,0.46428571425,0.3825641025208467,0.5334920635146985
3,..O.X.X..,0.4888888889,7,..O.X....,0.46428571425,0.3825641025208467,0.3112698413146985
3,..OXX....,0.6611111111,8,..O.X....,0.46428571425,0.3825641025208467,0.4834920635146984
3,..O.X..X.,0.6611111111,9,..O.X....,0.46428571425,0.3825641025208467,0.4834920635146984
3,.XO.X....,0.6833333333,10,..O.X....,0.46428571425,0.3825641025208467,0.5057142857146985
3,..O.XX...,0.6833333333,11,..O.X....,0.46428571425,0.3825641025208467,0.5057142857146985
3,X.O.X....,0.7111111111,12,..O.X....,0.46428571425,0.3825641025208467,0.5334920635146985
3,..O.X...X,0.7111111111,13,..O.X....,0.46428571425,0.3825641025208467,0.5334920635146985
3,..X.X.O..,0.4888888889,14,....X.O..,0.46428571425,0.3825641025208467,0.3112698413146985
3,.X..X.O..,0.6611111111,15,....X.O..,0.46428571425,0.3825641025208467,0.4834920635146984
3,....XXO..,0.6611111111,16,....X.O..,0.46428571425,0.3825641025208467,0.4834920635146984
3,...XX.O..,0.6833333333,17,....X.O..,0.46428571425,0.3825641025208467,0.5057142857146985
3,....X.OX.,0.6833333333,18,....X.O..,0.46428571425,0.3825641025208467,0.5057142857146985
3,X...X.O..,0.7111111111,19,....X.O..,0.46428571425,0.3825641025208467,0.5334920635146985
3,....X.O.X,0.7111111111,20,....X.O..,0.46428571425,0.3825641025208467,0.5334920635146985
3,X...X...O,0.4888888889,21,....X...O,0.46428571425,0.3825641025208467,0.3112698413146985
3,.X..X...O,0.6611111111,22,....X...O,0.46428571425,0.3825641025208467,0.4834920635146984
3,...XX...O,0.6611111111,23,....X...O,0.46428571425,0.3825641025208467,0.4834920635146984
3,....XX..O,0.6833333333,24,....X...O,0.46428571425,0.3825641025208467,0.5057142857146985
3,....X..XO,0.6833333333,25,....X...O,0.46428571425,0.3825641025208467,0.5057142857146985
3,..X.X...O,0.7111111111,26,....X...O,0.46428571425,0.3825641025208467,0.5334920635146985
3,....X.X.O,0.7111111111,27,....X...O,0.46428571425,0.3825641025208467,0.5334920635146985
3,.O..X..X.,0.5444444444,28,.O..X....,0.53571428575,0.3825641025208467,0.3394993894644548
3,.O.XX....,0.7333333333,29,.O..X....,0.53571428575,0.3825641025208467,0.5283882783644548
3,.O..XX...,0.7333333333,30,.O..X....,0.53571428575,0.3825641025208467,0.5283882783644548
3,.O..X.X..,0.7611111111,31,.O..X....,0.53571428575,0.3825641025208467,0.5561660561644548
3,.O..X...X,0.7611111111,32,.O..X....,0.53571428575,0.3825641025208467,0.5561660561644548
3,XO..X....,0.7833333333,33,.O..X....,0.53571428575,0.3825641025208467,0.5783882783644548
3,.OX.X....,0.7833333333,34,.O..X....,0.53571428575,0.3825641025208467,0.5783882783644548
3,...OXX...,0.5444444444,35,...OX....,0.53571428575,0.3825641025208467,0.3394993894644548
3,.X.OX....,0.7333333333,36,...OX....,0.53571428575,0.3825641025208467,0.5283882783644548
3,...OX..X.,0.7333333333,37,...OX....,0.53571428575,0.3825641025208467,0.5283882783644548
3,..XOX....,0.7611111111,38,...OX....,0.53571428575,0.3825641025208467,0.5561660561644548
3,...OX...X,0.7611111111,39,...OX....,0.53571428575,0.3825641025208467,0.5561660561644548
3,X..OX....,0.7833333333,40,...OX....,0.53571428575,0.3825641025208467,0.5783882783644548
3,...OX.X..,0.7833333333,41,...OX....,0.53571428575,0.3825641025208467,0.5783882783644548
3,...XXO...,0.5444444444,42,....XO...,0.53571428575,0.3825641025208467,0.3394993894644548
3,.X..XO...,0.7333333333,43,....XO...,0.53571428575,0.3825641025208467,0.5283882783644548
3,....XO.X.,0.7333333333,44,....XO...,0.53571428575,0.3825641025208467,0.5283882783644548
3,X...XO...,0.7611111111,45,....XO...,0.53571428575,0.3825641025208467,0.5561660561644548
3,....XOX..,0.7611111111,46,....XO...,0.53571428575,0.3825641025208467,0.5561660561644548
3,..X.XO...,0.7833333333,47,....XO...,0.53571428575,0.3825641025208467,0.5783882783644548
3,....XO..X,0.7833333333,48,....XO...,0.53571428575,0.3825641025208467,0.5783882783644548
