state,parent_state,to_move,layer,P(X wins),P(O wins),P(draws)
XOXOXOX..,XOXOXO...,O,7,1.0000000000,0.0000000000,0.0000000000
XOXOXOOXX,XOXOXOOX.,O,9,1.0000000000,0.0000000000,0.0000000000
XOXOXOOX.,XOXOXO.X.,X,8,1.0000000000,0.0000000000,0.0000000000
XOXOXOXXO,XOXOXO.XO,O,9,1.0000000000,0.0000000000,0.0000000000
XOXOXO.XO,XOXOXO.X.,X,8,1.0000000000,0.0000000000,0.0000000000
XOXOXO.X.,XOXOXO...,O,7,1.0000000000,0.0000000000,0.0000000000
XOXOXO..X,XOXOXO...,O,7,1.0000000000,0.0000000000,0.0000000000
XOXOXO...,XOXOX....,X,6,1.0000000000,0.0000000000,0.0000000000
XOXOXXOOX,XOXOXXOO.,O,9,1.0000000000,0.0000000000,0.0000000000
XOXOXXOO.,XOXOXXO..,X,8,1.0000000000,0.0000000000,0.0000000000
XOXOXXOXO,XOXOXXO.O,O,9,0.0000000000,0.0000000000,1.0000000000
XOXOXXO.O,XOXOXXO..,X,8,0.0000000000,0.0000000000,1.0000000000
XOXOXXO..,XOXOX.O..,O,7,0.5000000000,0.0000000000,0.5000000000
XOXOX.OXO,XOXOX.OX.,X,8,0.0000000000,0.0000000000,1.0000000000
XOXOX.OX.,XOXOX.O..,O,7,0.5000000000,0.0000000000,0.5000000000
XOXOX.O.X,XOXOX.O..,O,7,1.0000000000,0.0000000000,0.0000000000
XOXOX.O..,XOXOX....,X,6,0.6666666667,0.0000000000,0.3333333333
XOXOXXXOO,XOXOXX.OO,O,9,1.0000000000,0.0000000000,0.0000000000
XOXOXX.OO,XOXOXX.O.,X,8,1.0000000000,0.0000000000,0.0000000000
XOXOXX.O.,XOXOX..O.,O,7,1.0000000000,0.0000000000,0.0000000000
XOXOX.XO.,XOXOX..O.,O,7,1.0000000000,0.0000000000,0.0000000000
XOXOX..OX,XOXOX..O.,O,7,1.0000000000,0.0000000000,0.0000000000
XOXOX..O.,XOXOX....,X,6,1.0000000000,0.0000000000,0.0000000000
XOXOXX..O,XOXOX...O,O,7,0.5000000000,0.0000000000,0.5000000000
XOXOX.X.O,XOXOX...O,O,7,1.0000000000,0.0000000000,0.0000000000
XOXOX..XO,XOXOX...O,O,7,0.5000000000,0.0000000000,0.5000000000
XOXOX...O,XOXOX....,X,6,0.6666666667,0.0000000000,0.3333333333
XOXOX....,XOXO.....,O,5,0.8333333333,0.0000000000,0.1666666667
XOXOOXXO.,XOXOOXX..,X,8,0.0000000000,1.0000000000,0.0000000000
XOXOOXXXO,XOXOOXX.O,O,9,0.0000000000,0.0000000000,1.0000000000
XOXOOXX.O,XOXOOXX..,X,8,0.0000000000,0.0000000000,1.0000000000
XOXOOXX..,XOXOOX...,O,7,0.0000000000,0.5000000000,0.5000000000
XOXOOXOXX,XOXOOXOX.,O,9,1.0000000000,0.0000000000,0.0000000000
XOXOOXOX.,XOXOOX.X.,X,8,1.0000000000,0.0000000000,0.0000000000
XOXOOX.XO,XOXOOX.X.,X,8,0.0000000000,0.0000000000,1.0000000000
XOXOOX.X.,XOXOOX...,O,7,0.5000000000,0.0000000000,0.5000000000
XOXOOX..X,XOXOOX...,O,7,1.0000000000,0.0000000000,0.0000000000
XOXOOX...,XOXO.X...,X,6,0.5000000000,0.1666666667,0.3333333333
XOXO.XOXO,XOXO.XOX.,X,8,0.0000000000,0.0000000000,1.0000000000
XOXO.XOX.,XOXO.XO..,O,7,0.5000000000,0.0000000000,0.5000000000
XOXO.XO.X,XOXO.XO..,O,7,1.0000000000,0.0000000000,0.0000000000
XOXO.XO..,XOXO.X...,X,6,0.6666666667,0.0000000000,0.3333333333
XOXO.XXOO,XOXO.XXO.,X,8,1.0000000000,0.0000000000,0.0000000000
XOXO.XXO.,XOXO.X.O.,O,7,0.5000000000,0.5000000000,0.0000000000
XOXO.X.OX,XOXO.X.O.,O,7,1.0000000000,0.0000000000,0.0000000000
XOXO.X.O.,XOXO.X...,X,6,0.8333333333,0.1666666667,0.0000000000
XOXO.XX.O,XOXO.X..O,O,7,0.5000000000,0.0000000000,0.5000000000
XOXO.X.XO,XOXO.X..O,O,7,0.0000000000,0.0000000000,1.0000000000
XOXO.X..O,XOXO.X...,X,6,0.3333333333,0.0000000000,0.6666666667
XOXO.X...,XOXO.....,O,5,0.5833333333,0.0833333333,0.3333333333
XOXOOOXX.,XOXOO.XX.,X,8,0.0000000000,1.0000000000,0.0000000000
XOXOO.XXO,XOXOO.XX.,X,8,0.0000000000,0.0000000000,1.0000000000
XOXOO.XX.,XOXOO.X..,O,7,0.0000000000,0.5000000000,0.5000000000
XOXOOOX.X,XOXOO.X.X,X,8,0.0000000000,1.0000000000,0.0000000000
XOXOO.XOX,XOXOO.X.X,X,8,0.0000000000,1.0000000000,0.0000000000
XOXOO.X.X,XOXOO.X..,O,7,0.0000000000,1.0000000000,0.0000000000
XOXOO.X..,XOXO..X..,X,6,0.0000000000,0.6666666667,0.3333333333
XOXO.OXXO,XOXO.OXX.,X,8,1.0000000000,0.0000000000,0.0000000000
XOXO.OXX.,XOXO.OX..,O,7,0.5000000000,0.5000000000,0.0000000000
XOXOXOXOX,XOXO.OXOX,O,9,1.0000000000,0.0000000000,0.0000000000
XOXO.OXOX,XOXO.OX.X,X,8,1.0000000000,0.0000000000,0.0000000000
